valid_at,sensor_id,pm2p5_x,pm2p5_y,pm1,pm10,no,no2,o3,co,relative_humidity,temperature,pressure,wind_speed,rain
2021-03-13 02:00:00,FEC01,20.0416666666667,4.5,16.0675,17.8033333333333,25.4266666666667,18.5141666666667,148.0025,120.1475,69,8.7,1024.9,7.6,0.0
2021-03-13 03:00:00,FEC01,31.77,6.0,25.0833333333333,42.4608333333333,25.5358333333333,16.0408333333333,152.916666666667,110.2525,70,8.1,1024.6,5.4,0.0
2021-03-13 03:00:00,FEC02,26.4633333333333,6.0,13.4041666666667,46.6158333333333,5.63416666666667,18.8416666666667,179.7025,95.5608333333333,70,8.1,1024.6,5.4,0.0
2021-03-13 04:00:00,FEC02,31.9125,7.3,14.7058333333333,58.7816666666667,5.49166666666667,15.1991666666667,175.16,103.110833333333,72,7.5,1024.5,3.6,0.0
2021-03-13 04:00:00,FEC01,26.25,7.3,21.095,31.22,26.3716666666667,16.8966666666667,141.3775,111.9075,72,7.5,1024.5,3.6,0.0
2021-03-13 05:00:00,FEC01,26.055,5.7,22.5475,33.6975,27.2091666666667,17.3333333333333,127.999166666667,108.828333333333,72,7.2,1024.2,3.6,0.0
2021-03-13 05:00:00,FEC02,25.6027272727273,5.7,10.9218181818182,39.5736363636364,9.91,18.4309090909091,149.966363636364,104.357272727273,72,7.2,1024.2,3.6,0.0
2021-03-13 06:00:00,FEC02,24.6841666666667,5.3,9.305,58.975,4.62916666666667,6.1025,166.046666666667,105.661666666667,75,5.8,1024.4,3.6,0.0
2021-03-13 06:00:00,FEC01,24.0016666666667,5.3,19.6125,22.8666666666667,26.7808333333333,8.03583333333333,131.920833333333,106.474166666667,75,5.8,1024.4,3.6,0.0
2021-03-13 07:00:00,FEC01,26.0825,6.5,20.3325,23.8433333333333,28.1025,11.7291666666667,132.445,128.834166666667,74,6.1,1023.8,5.4,0.0
2021-03-13 07:00:00,FEC02,23.405,6.5,10.5941666666667,65.5333333333333,4.1625,8.12416666666666,165.385833333333,123.104166666667,74,6.1,1023.8,5.4,0.0
2021-03-13 08:00:00,FEC02,19.1183333333333,5.9,7.87083333333333,37.0825,9.635,21.5475,149.036666666667,143.671666666667,67,8.0,1024.8,6.5,0.0
